pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.39,796,650,94.4,24.4,0.0,457
0.39,801,650,94.4,24.4,0.0,458
0.39,804,650,94.4,24.4,0.0,459
0.38,802,650,94.4,24.4,0.0,460
0.39,797,650,94.4,24.4,0.0,461
0.38,797,650,94.4,24.4,0.0,462
0.38,803,650,94.5,24.4,0.0,463
0.38,804,650,94.5,24.4,0.0,464
0.38,801,650,94.5,24.4,0.0,465
0.38,796,650,94.5,24.4,0.0,466
0.38,798,650,94.5,24.4,0.0,467
0.38,803,650,94.6,24.4,0.0,468
0.38,804,650,94.6,24.4,0.0,469
0.38,799,650,94.6,24.4,0.0,470
0.38,796,650,94.6,24.4,0.0,471
0.38,798,650,94.6,24.4,0.0,472
0.38,804,650,94.6,24.4,0.0,473
0.38,803,650,94.6,24.5,0.0,474
0.39,797,650,94.6,24.5,0.0,475
0.38,796,650,94.7,24.5,0.0,476
0.38,800,650,94.7,24.5,0.0,477
0.38,804,650,94.7,24.5,0.0,478
0.38,796,650,94.7,24.6,0.0,479
0.38,800,650,94.7,24.6,0.0,480
0.38,804,650,94.7,24.7,0.0,481
0.38,803,650,94.7,24.7,0.0,482
0.38,797,650,94.7,24.7,0.0,483
0.38,796,650,94.7,24.7,0.0,484
0.38,802,650,94.7,24.7,0.0,485
0.38,804,650,94.7,24.8,0.0,486
0.38,801,650,94.7,24.8,0.0,487
0.38,796,650,94.7,24.8,0.0,488
0.38,798,650,94.7,24.9,0.0,489
0.38,802,650,94.7,24.9,0.0,490
0.38,804,650,94.7,24.9,0.0,491
0.38,800,650,94.7,24.9,0.0,492
0.38,796,650,94.7,24.9,0.0,493
0.38,798,650,94.7,24.9,0.0,494
0.38,803,650,94.7,25.0,0.0,495
0.38,803,650,94.7,25.0,0.0,496
0.38,798,650,94.7,25.0,0.0,497
0.38,796,649,94.8,25.0,0.0,498
0.38,799,650,94.7,25.0,0.0,499
0.38,804,650,94.7,25.0,0.0,500
0.38,802,650,94.7,25.0,0.0,501
0.38,798,650,94.7,25.0,0.0,502
0.38,796,650,94.7,25.0,0.0,503
0.38,801,650,94.7,25.0,0.0,504
0.38,804,650,94.7,25.0,0.0,505
0.38,802,650,94.6,25.0,0.0,506
0.38,797,650,94.7,25.0,0.0,507
0.38,797,650,94.7,25.0,0.0,508
0.38,802,650,94.7,25.0,0.0,509
0.38,804,650,94.7,25.0,0.0,510
0.38,801,650,94.7,25.0,0.0,511
0.38,796,650,94.7,25.0,0.0,512
0.38,798,650,94.7,25.0,0.0,513
0.38,803,650,94.7,25.0,0.0,514
0.38,804,650,94.7,25.0,0.0,515
0.38,799,650,94.7,25.0,0.0,516
0.38,795,650,94.7,25.0,0.0,517
0.38,799,650,94.7,24.9,0.0,518
0.38,803,650,94.7,24.9,0.0,519
0.38,803,650,94.7,24.9,0.0,520
0.38,798,650,94.7,24.9,0.0,521
0.38,796,649,94.7,24.9,0.0,522
0.38,803,650,94.7,24.9,0.0,523
0.38,800,650,94.7,24.9,0.0,524
0.38,795,650,94.7,24.9,0.0,525
0.38,799,650,94.7,24.8,0.0,526
0.38,804,650,94.7,24.8,0.0,527
0.38,802,650,94.8,24.8,0.0,528
0.38,798,650,94.8,24.8,0.0,529
0.38,796,650,94.8,24.8,0.0,530
0.38,801,650,94.8,24.8,0.0,531
0.39,804,650,94.8,24.8,0.0,532
0.38,802,650,94.8,24.8,0.0,533
0.38,797,650,94.8,24.8,0.0,534
0.38,797,650,94.9,24.8,0.0,535
0.38,802,650,94.8,24.7,0.0,536
0.38,804,650,94.8,24.7,0.0,537
0.38,801,650,94.9,24.7,0.0,538
0.39,796,650,94.8,24.7,0.0,539
0.38,798,650,94.9,24.7,0.0,540
0.38,802,650,94.9,24.7,0.0,541
0.38,804,650,95.0,24.7,0.0,542
0.38,800,650,95.0,24.7,0.0,543
0.38,796,650,95.0,24.7,0.0,544
0.38,798,650,95.0,24.7,0.0,545
0.38,803,650,95.0,24.8,0.0,546
0.38,803,650,95.1,24.8,0.0,547
0.38,798,650,95.1,24.8,0.0,548
0.38,795,650,95.1,24.9,0.0,549
0.38,799,650,95.1,24.9,0.0,550
0.38,804,650,95.1,25.0,0.0,551
0.38,802,650,95.1,25.0,0.0,552
0.38,798,650,95.1,25.0,0.0,553
0.38,796,650,95.2,25.1,0.0,554
0.38,800,650,95.2,25.1,0.0,555
0.38,804,650,95.2,25.2,0.0,556
0.38,803,650,95.2,25.2,0.0,557
0.37,797,650,95.2,25.3,0.0,558
0.38,797,650,95.2,25.3,0.0,559
0.37,802,650,95.2,25.4,0.0,560
0.38,804,650,95.2,25.4,0.0,561
0.37,801,650,95.2,25.5,0.0,562
0.38,796,650,95.2,25.6,0.0,563
0.38,798,650,95.2,25.6,0.0,564
0.37,803,650,95.1,25.7,0.0,565
0.38,804,650,95.1,25.7,0.0,566
0.37,800,650,95.1,25.8,0.0,567
0.37,800,650,95.1,26.0,0.0,568
0.37,805,650,95.1,26.0,0.0,569
0.37,801,650,95.1,26.0,0.0,570
0.37,796,650,95.1,26.1,0.0,571
0.37,797,650,95.7,26.5,0.0,572
0.37,803,650,94.9,26.3,0.0,573
0.37,804,650,95.5,26.3,0.0,574
0.37,801,650,95.6,26.4,0.0,575
0.37,796,650,95.7,26.4,0.0,576
0.37,798,650,95.7,26.5,0.0,577
0.37,804,650,95.7,26.5,0.0,578
0.37,804,650,95.7,26.5,0.0,579
0.37,800,650,95.7,26.5,0.0,580
0.37,796,650,95.7,26.5,0.0,581
0.37,799,650,95.7,26.5,0.0,582
0.37,803,650,95.7,26.5,0.0,583
0.37,804,650,95.7,26.6,0.0,584
0.37,798,650,95.7,26.5,0.0,585
0.37,796,650,95.6,26.6,0.0,586
0.37,799,650,95.6,26.6,0.0,587
0.37,804,650,95.6,26.5,0.0,588
0.37,803,650,95.6,26.5,0.0,589
0.37,797,650,95.6,26.5,0.0,590
0.37,796,650,95.6,26.5,0.0,591
0.37,800,650,95.6,26.5,0.0,592
0.37,804,650,95.6,26.5,0.0,593
0.37,801,650,95.6,26.5,0.0,594
0.37,796,650,95.5,26.4,0.0,595
0.37,796,650,95.5,26.4,0.0,596
0.37,802,650,95.5,26.4,0.0,597
0.37,804,650,95.5,26.4,0.0,598
0.37,800,650,95.5,26.4,0.0,599
0.37,796,650,95.3,26.3,0.0,600
0.37,797,650,95.2,26.3,0.0,601
0.37,803,650,94.9,26.3,0.0,602
0.37,804,650,94.9,26.3,0.0,603
0.37,800,650,94.8,26.2,0.0,604
0.37,795,650,94.8,26.2,0.0,605
0.37,798,650,94.8,26.2,0.0,606
0.37,804,650,94.8,26.2,0.0,607
0.37,804,650,94.8,26.1,0.0,608
0.37,799,650,94.8,26.1,0.0,609
0.37,795,650,94.8,26.1,0.0,610
0.37,800,650,94.8,26.1,0.0,611
0.38,803,650,94.8,26.0,0.0,612
0.38,803,650,94.8,26.0,0.0,613
0.38,798,650,94.8,25.9,0.0,614
0.37,804,650,94.8,26.0,0.0,615
